    4    5   45
    1    1        -2.6495176524
    2    1         0.0000000000
    3    1         0.0000000000
    4    1        -0.0000001780
    5    1        -0.0000003519
    6    1         0.0003194249
    7    1        -0.0007396593
    8    1         0.6549668090
    9    1         0.0006427763
    2    2        -3.2077758417
    3    2         0.0000000000
    4    2        -0.0000000395
    5    2        -0.0000021115
    6    2         0.0000279677
    7    2        -0.0000001973
    8    2         0.0000001557
    9    2         0.0000077544
    3    3        -3.2077758417
    4    3         0.0000000744
    5    3         0.0000018636
    6    3        -0.0000188753
    7    3         0.0000001638
    8    3        -0.0000001856
    9    3        -0.0000041891
    4    4        -4.1610998883
    5    4         0.5115420396
    6    4        -0.0000931159
    7    4         0.0000027497
    8    4         0.0006168292
    9    4        -0.2352440101
    5    5        -2.8724885941
    6    5        -0.0001832393
    7    5         0.0000029017
    8    5         0.0009911356
    9    5        -0.5024791463
    6    6        -2.3936921635
    7    6        -0.0000028022
    8    6         0.0004885358
    9    6         0.0003745303
    7    7        -2.3938702556
    8    7        -0.0011426624
    9    7        -0.0000109182
    8    8        -1.4302801145
    9    8         0.0002236405
    9    9        -1.4261461790
