    4    4       666
    1    1    1    1        0.5457934578
    1    1    2    1       -0.0000408005
    1    1    3    1       -0.0000044063
    1    1    4    1        0.0000022295
    1    1    5    1       -0.0000000266
    1    1    6    1       -0.0000068921
    1    1    7    1       -0.1521709605
    1    1    8    1        0.0000016367
    1    1    2    2        0.1857675412
    1    1    3    2       -0.0375956201
    1    1    4    2       -0.0168916603
    1    1    5    2       -0.0000000712
    1    1    6    2       -0.0401199187
    1    1    7    2        0.0000155502
    1    1    8    2        0.0154928289
    1    1    3    3        0.5006836352
    1    1    4    3       -0.1146748752
    1    1    5    3       -0.0000000101
    1    1    6    3       -0.0054687392
    1    1    7    3        0.0000041935
    1    1    8    3       -0.0662917045
    1    1    4    4        0.2134646410
    1    1    5    4        0.0000000170
    1    1    6    4        0.0093879601
    1    1    7    4       -0.0000006161
    1    1    8    4        0.0195723865
    1    1    5    5        0.4981365691
    1    1    6    5        0.0000000030
    1    1    7    5       -0.0000002663
    1    1    8    5       -0.0000000023
    1    1    6    6        0.5011465692
    1    1    7    6       -0.0000006408
    1    1    8    6       -0.0010281744
    1    1    7    7        0.4748869139
    1    1    8    7       -0.0000000756
    1    1    8    8        0.5395005976
    2    1    2    1        0.0016412155
    2    1    3    1       -0.0095406915
    2    1    4    1        0.0029357484
    2    1    5    1       -0.0000000061
    2    1    6    1       -0.0034780010
    2    1    7    1        0.0000162084
    2    1    8    1        0.0091565485
    2    1    2    2        0.0000400081
    2    1    3    2        0.0000077195
    2    1    4    2       -0.0000007337
    2    1    5    2        0.0000000007
    2    1    6    2        0.0000113879
    2    1    7    2       -0.0001236430
    2    1    8    2       -0.0000042825
    2    1    3    3       -0.0000309632
    2    1    4    3        0.0000253049
    2    1    5    3        0.0000000028
    2    1    6    3       -0.0000023712
    2    1    7    3        0.0045184836
    2    1    8    3        0.0000080261
    2    1    4    4        0.0000326542
    2    1    5    4       -0.0000000015
    2    1    6    4       -0.0000024792
    2    1    7    4       -0.0018424140
    2    1    8    4       -0.0000013810
    2    1    5    5       -0.0000356219
    2    1    6    5       -0.0000000019
    2    1    7    5        0.0000000005
    2    1    8    5       -0.0000000043
    2    1    6    6       -0.0000335945
    2    1    7    6        0.0002553040
    2    1    8    6       -0.0000023838
    2    1    7    7       -0.0000331002
    2    1    8    7       -0.0051027605
    2    1    8    8       -0.0000398557
    3    1    3    1        0.1048826987
    3    1    4    1       -0.0361149709
    3    1    5    1       -0.0000000061
    3    1    6    1       -0.0033433424
    3    1    7    1        0.0000026990
    3    1    8    1       -0.0941826304
    3    1    2    2       -0.0000004473
    3    1    3    2       -0.0000103434
    3    1    4    2        0.0000079437
    3    1    5    2       -0.0000000015
    3    1    6    2        0.0000009074
    3    1    7    2        0.0067724735
    3    1    8    2        0.0000104110
    3    1    3    3       -0.0000027108
    3    1    4    3        0.0000009479
    3    1    5    3        0.0000000353
    3    1    6    3       -0.0000016952
    3    1    7    3       -0.0399012955
    3    1    8    3       -0.0000001732
    3    1    4    4       -0.0000042717
    3    1    5    4       -0.0000000121
    3    1    6    4        0.0000008559
    3    1    7    4        0.0119761198
    3    1    8    4       -0.0000007723
    3    1    5    5       -0.0000032380
    3    1    6    5        0.0000000009
    3    1    7    5        0.0000000046
    3    1    8    5        0.0000000861
    3    1    6    6       -0.0000029314
    3    1    7    6        0.0025226018
    3    1    8    6        0.0000015650
    3    1    7    7       -0.0000069803
    3    1    8    7        0.0496859954
    3    1    8    8       -0.0000031235
    4    1    4    1        0.0127770806
    4    1    5    1        0.0000000041
    4    1    6    1        0.0022670589
    4    1    7    1       -0.0000018658
    4    1    8    1        0.0321699919
    4    1    2    2       -0.0000042009
    4    1    3    2        0.0000075952
    4    1    4    2        0.0000103792
    4    1    5    2        0.0000000001
    4    1    6    2       -0.0000015422
    4    1    7    2       -0.0026885894
    4    1    8    2       -0.0000033329
    4    1    3    3        0.0000013041
    4    1    4    3       -0.0000014072
    4    1    5    3       -0.0000000151
    4    1    6    3        0.0000021832
