    4    4   36
    1    1        -1.7850698038
    2    1        -0.0000025481
    3    1         0.0000220666
    4    1         0.0000071264
    5    1         0.0000002007
    6    1        -0.0000058609
    7    1         0.4380306527
    8    1        -0.0000025934
    2    2        -1.8492166251
    3    2         0.0424872264
    4    2         0.1007263816
    5    2        -0.0000000054
    6    2        -0.0032553069
    7    2        -0.0000391759
    8    2        -0.0073176949
    3    3        -2.1870038297
    4    3         0.0062445879
    5    3         0.0000002231
    6    3         0.1250061326
    7    3        -0.0000035783
    8    3         0.0514024129
    4    4        -2.2083226567
    5    4        -0.0000000185
    6    4        -0.0104684703
    7    4         0.0000040811
    8    4        -0.0306216636
    5    5        -1.7972402570
    6    5        -0.0000001014
    7    5         0.0000008227
    8    5         0.0000001596
    6    6        -1.8523596597
    7    6        -0.0000055120
    8    6         0.0875788592
    7    7        -0.9826729015
    8    7        -0.0000008051
    8    8        -0.5616615700
