    4    4       666
    1    1    1    1        0.8929886690
    1    1    2    1       -0.0000809154
    1    1    3    1       -0.0000087186
    1    1    4    1        0.0000045905
    1    1    5    1       -0.0000005111
    1    1    6    1       -0.0000136612
    1    1    7    1       -0.3035280962
    1    1    8    1        0.0000032405
    1    1    2    2        0.1790458675
    1    1    3    2       -0.0740722166
    1    1    4    2       -0.0318397907
    1    1    5    2       -0.0000001406
    1    1    6    2       -0.0793058976
    1    1    7    2        0.0000310251
    1    1    8    2        0.0306897414
    1    1    3    3        0.8033113008
    1    1    4    3       -0.2273238290
    1    1    5    3       -0.0000000199
    1    1    6    3       -0.0108238048
    1    1    7    3        0.0000083400
    1    1    8    3       -0.1324707820
    1    1    4    4        0.2334733018
    1    1    5    4        0.0000000340
    1    1    6    4        0.0188353221
    1    1    7    4       -0.0000013142
    1    1    8    4        0.0391119000
    1    1    5    5        0.7976423227
    1    1    6    5        0.0000000063
    1    1    7    5       -0.0000009969
    1    1    8    5       -0.0000000046
    1    1    6    6        0.8037462505
    1    1    7    6       -0.0000012530
    1    1    8    6       -0.0020763544
    1    1    7    7        0.7519643458
    1    1    8    7       -0.0000001621
    1    1    8    8        0.8803162780
    2    1    2    1        0.0032820014
    2    1    3    1       -0.0190748448
    2    1    4    1        0.0058691745
    2    1    5    1       -0.0000000121
    2    1    6    1       -0.0069551630
    2    1    7    1        0.0000324016
    2    1    8    1        0.0183085194
    2    1    2    2        0.0000793319
    2    1    3    2        0.0000152331
    2    1    4    2       -0.0000016613
    2    1    5    2        0.0000000014
    2    1    6    2        0.0000225627
    2    1    7    2       -0.0002469704
    2    1    8    2       -0.0000085362
    2    1    3    3       -0.0000613898
    2    1    4    3        0.0000501684
    2    1    5    3        0.0000000033
    2    1    6    3       -0.0000045252
    2    1    7    3        0.0090388988
    2    1    8    3        0.0000160579
    2    1    4    4        0.0000647648
    2    1    5    4       -0.0000000020
    2    1    6    4       -0.0000050183
    2    1    7    4       -0.0036856939
    2    1    8    4       -0.0000027684
    2    1    5    5       -0.0000705574
    2    1    6    5       -0.0000000038
    2    1    7    5        0.0000000009
    2    1    8    5       -0.0000000045
    2    1    6    6       -0.0000665005
    2    1    7    6        0.0005116992
    2    1    8    6       -0.0000046169
    2    1    7    7       -0.0000655375
    2    1    8    7       -0.0102046877
    2    1    8    8       -0.0000790177
    3    1    3    1        0.2094748649
    3    1    4    1       -0.0721097433
    3    1    5    1       -0.0000000122
    3    1    6    1       -0.0066854022
    3    1    7    1        0.0000054000
    3    1    8    1       -0.1881570311
    3    1    2    2       -0.0000005937
    3    1    3    2       -0.0000206017
    3    1    4    2        0.0000159950
    3    1    5    2       -0.0000000042
    3    1    6    2        0.0000018434
    3    1    7    2        0.0135115594
    3    1    8    2        0.0000207869
    3    1    3    3       -0.0000052999
    3    1    4    3        0.0000019660
    3    1    5    3        0.0000000915
    3    1    6    3       -0.0000033567
    3    1    7    3       -0.0798787569
    3    1    8    3       -0.0000003499
    3    1    4    4       -0.0000082593
    3    1    5    4       -0.0000000321
    3    1    6    4        0.0000017239
    3    1    7    4        0.0240231499
    3    1    8    4       -0.0000015482
    3    1    5    5       -0.0000063812
    3    1    6    5       -0.0000000003
    3    1    7    5        0.0000000091
    3    1    8    5       -0.0000000637
    3    1    6    6       -0.0000057613
    3    1    7    6        0.0050307752
    3    1    8    6        0.0000031374
    3    1    7    7       -0.0000138427
    3    1    8    7        0.0993369857
    3    1    8    8       -0.0000061478
    4    1    4    1        0.0255039420
    4    1    5    1        0.0000000081
    4    1    6    1        0.0045324005
    4    1    7    1       -0.0000037349
    4    1    8    1        0.0642536921
    4    1    2    2       -0.0000084443
    4    1    3    2        0.0000151419
    4    1    4    2        0.0000207053
    4    1    5    2        0.0000000007
    4    1    6    2       -0.0000031103
    4    1    7    2       -0.0053627809
    4    1    8    2       -0.0000066506
    4    1    3    3        0.0000027200
    4    1    4    3       -0.0000028724
    4    1    5    3       -0.0000000383
    4    1    6    3        0.0000043731
    4    1    7    3        0.0267795060
    4    1    8    3       -0.0000019173
    4    1    4    4       -0.0000070698
    4    1    5    4        0.0000000147
    4    1    6    4        0.0000040586
    4    1    7    4       -0.0067284519
    4    1    8    4       -0.0000006009
    4    1    5    5        0.0000029244
    4    1    6    5        0.0000000023
    4    1    7    5       -0.0000000031
    4    1    8    5        0.0000000353
    4    1    6    6        0.0000012765
    4    1    7    6       -0.0017309956
    4    1    8    6        0.0000004122
    4    1    7    7        0.0000057570
