    4    4   36
    1    1        -2.5703066898
    2    1        -0.0000025284
    3    1         0.0000226244
    4    1         0.0000072238
    5    1        -0.0000000018
    6    1        -0.0000057388
    7    1         0.4409977072
    8    1        -0.0000031527
    2    2        -2.6341802708
    3    2         0.0432990012
    4    2         0.1051544862
    5    2        -0.0000000022
    6    2        -0.0032727823
    7    2        -0.0000389405
    8    2        -0.0080109408
    3    3        -2.9726953502
    4    3         0.0065774591
    5    3         0.0000000974
    6    3         0.1293417221
    7    3        -0.0000034562
    8    3         0.0519794909
    4    4        -2.9946608595
    5    4        -0.0000000084
    6    4        -0.0112196666
    7    4         0.0000038479
    8    4        -0.0308346518
    5    5        -2.5826030850
    6    5        -0.0000000403
    7    5        -0.0000000020
    8    5         0.0000000693
    6    6        -2.6372709037
    7    6        -0.0000054525
    8    6         0.0901903973
    7    7        -1.7651453920
    8    7        -0.0000007193
    8    8        -1.3470818799
