     1      1  -2.098545936997e+00
     1      3  -2.559539999947e-07
     1      4   2.231339999992e-07
     1      6  -4.555242325000e-02
     1      8  -1.372827107220e-01
     1     11  -5.296055966900e-02
     1     13  -2.559539999947e-07
     1     15  -1.078321210840e-01
     1     16  -9.851298291900e-02
     1     19   2.231339999992e-07
     1     21  -9.851298291900e-02
     1     22  -1.046453270310e-01
     1     26  -5.296055966900e-02
     1     29  -9.706949699900e-02
     1     31  -4.555242325000e-02
     2      2  -1.729883199701e+00
     2      5  -9.767291210300e-02
     2      7   1.372827107220e-01
     2      9  -9.800095413100e-02
     2     10   9.936645501800e-02
     2     12   5.296055966900e-02
     2     14  -1.666752540600e-02
     2     20   1.241761527000e-03
     2     25   5.296055966900e-02
     2     27   4.308397755900e-02
     2     28  -4.096940945000e-02
     2     30   9.706949699900e-02
     2     32  -4.555242325000e-02
     3      1  -2.559539999947e-07
     3      3  -1.516766165072e+00
     3      4  -5.212048885300e-02
     3      6  -6.101757730900e-02
     3      8  -9.800095413100e-02
     3     11   9.936645501800e-02
     3     13   1.078321210840e-01
     3     15   7.470282096700e-02
     3     18  -9.851298291900e-02
     3     19   9.851298291900e-02
     3     21   8.143285526800e-02
     3     24  -1.046453270310e-01
     3     26   4.308397755900e-02
     3     29  -4.096940945000e-02
     3     33  -4.555242325000e-02
     4      1   2.231339999992e-07
     4      3  -5.212048885300e-02
     4      4  -1.209546440050e+00
     4      6   4.325816327900e-02
     4      8   9.936645501800e-02
     4     11  -9.800095413100e-02
     4     13   9.851298291900e-02
     4     16  -9.571220030200e-02
     4     18  -1.078321210840e-01
     4     19   1.046453270310e-01
     4     22  -8.948174399100e-02
     4     24  -9.851298291900e-02
     4     26  -4.096940945000e-02
     4     29   4.308397755900e-02
     4     34  -4.555242325000e-02
     5      2  -9.767291210300e-02
     5      5  -1.035331697905e+00
     5      7   5.296055966900e-02
     5      9   9.936645501800e-02
     5     10  -9.800095413100e-02
     5     12   1.372827107220e-01
     5     17  -4.341853929000e-03
     5     23  -9.290650250000e-03
     5     25   9.706949699900e-02
     5     27  -4.096940945000e-02
     5     28   4.308397755900e-02
     5     30   5.296055966900e-02
     5     35  -4.555242325000e-02
     6      1  -4.555242325000e-02
     6      3  -6.101757730900e-02
     6      4   4.325816327900e-02
     6      6  -7.678269195490e-01
     6      8  -5.296055966900e-02
     6     11  -1.372827107220e-01
     6     15   9.851298291900e-02
     6     16   1.078321210840e-01
     6     18   2.100963528900e-02
     6     21   1.046453270310e-01
     6     22   9.851298291900e-02
     6     24   8.048665589000e-03
     6     26  -9.706949699900e-02
     6     29  -5.296055966900e-02
     6     36  -4.555242325000e-02
     7      2   1.372827107220e-01
     7      5   5.296055966900e-02
     7      7  -1.729883199701e+00
     7      9  -1.666752540600e-02
     7     10   1.241761527000e-03
     7     12  -4.555242325000e-02
     7     14  -9.800095413100e-02
     7     17   4.308397755900e-02
     7     20   9.936645501800e-02
     7     23  -4.096940945000e-02
     7     25  -9.767291210300e-02
     7     32   5.296055966900e-02
     7     35   9.706949699900e-02
     8      1  -1.372827107220e-01
     8      3  -9.800095413100e-02
     8      4   9.936645501800e-02
     8      6  -5.296055966900e-02
     8      8  -1.335716948010e+00
     8     11  -9.767291210300e-02
     8     13  -9.800095413100e-02
     8     15   1.573820542420e-01
     8     16  -1.506334717720e-01
     8     18   4.308397755900e-02
     8     19   9.936645501800e-02
     8     21  -1.506334717720e-01
     8     22   1.624644779350e-01
     8     24  -4.096940945000e-02
     8     26  -9.767291210300e-02
     8     31  -5.296055966900e-02
     8     33   4.308397755900e-02
     8     34  -4.096940945000e-02
     8     36  -9.706949699900e-02
     9      2  -9.800095413100e-02
     9      5   9.936645501800e-02
     9      7  -1.666752540600e-02
     9      9  -1.138523878355e+00
     9     10  -5.212048885300e-02
     9     12   5.977559264800e-02
     9     14   1.573820542420e-01
     9     17  -1.506334717720e-01
     9     20  -1.506334717720e-01
     9     23   1.624644779350e-01
     9     27  -9.767291210300e-02
     9     32   4.308397755900e-02
     9     35  -4.096940945000e-02
    10      2   9.936645501800e-02
    10      5  -9.800095413100e-02
    10      7   1.241761527000e-03
    10      9  -5.212048885300e-02
    10     10  -8.187486126580e-01
    10     12  -2.659038191900e-02
    10     14  -1.506334717720e-01
    10     17   1.573820542420e-01
    10     20   1.624644779350e-01
    10     23  -1.506334717720e-01
    10     28  -9.767291210300e-02
    10     32  -4.096940945000e-02
    10     35   4.308397755900e-02
    11      1  -5.296055966900e-02
    11      3   9.936645501800e-02
    11      4  -9.800095413100e-02
    11      6  -1.372827107220e-01
    11      8  -9.767291210300e-02
    11     11  -6.604578354870e-01
    11     13   4.308397755900e-02
    11     15  -1.506334717720e-01
    11     16   1.573820542420e-01
    11     18  -9.800095413100e-02
    11     19  -4.096940945000e-02
    11     21   1.624644779350e-01
    11     22  -1.506334717720e-01
    11     24   9.936645501800e-02
    11     29  -9.767291210300e-02
    11     31  -9.706949699900e-02
    11     33  -4.096940945000e-02
    11     34   4.308397755900e-02
    11     36  -5.296055966900e-02
    12      2   5.296055966900e-02
    12      5   1.372827107220e-01
    12      7  -4.555242325000e-02
    12      9   5.977559264800e-02
    12     10  -2.659038191900e-02
    12     12  -3.674495427360e-01
    12     14   4.308397755900e-02
    12     17  -9.800095413100e-02
    12     20  -4.096940945000e-02
    12     23   9.936645501800e-02
    12     30  -9.767291210300e-02
    12     32   9.706949699900e-02
    12     35   5.296055966900e-02
    13      1  -2.559539999947e-07
    13      3   1.078321210840e-01
    13      4   9.851298291900e-02
    13      8  -9.800095413100e-02
    13     11   4.308397755900e-02
    13     13  -1.516766165072e+00
    13     15   7.470282096700e-02
    13     16   8.143285526800e-02
    13     18  -4.555242325000e-02
    13     19  -5.212048885300e-02
    13     26   9.936645501800e-02
    13     29  -4.096940945000e-02
    13     31  -6.101757730900e-02
    13     33  -9.851298291900e-02
    13     34  -1.046453270310e-01
    14      2  -1.666752540600e-02
    14      7  -9.800095413100e-02
    14      9   1.573820542420e-01
    14     10  -1.506334717720e-01
    14     12   4.308397755900e-02
    14     14  -1.138523878355e+00
    14     17  -9.767291210300e-02
    14     20  -5.212048885300e-02
    14     25   9.936645501800e-02
    14     27  -1.506334717720e-01
    14     28   1.624644779350e-01
    14     30  -4.096940945000e-02
    14     32   5.977559264800e-02
    15      1  -1.078321210840e-01
    15      3   7.470282096700e-02
    15      6   9.851298291900e-02
    15      8   1.573820542420e-01
    15     11  -1.506334717720e-01
    15     13   7.470282096700e-02
    15     15  -8.622839844010e-01
    15     16  -5.212048885300e-02
    15     18  -2.041550109300e-02
    15     21  -5.212048885300e-02
    15     26  -1.506334717720e-01
    15     29   1.624644779350e-01
    15     31   9.851298291900e-02
    15     33  -2.041550109300e-02
    15     36  -1.046453270310e-01
    16      1  -9.851298291900e-02
    16      4  -9.571220030200e-02
    16      6   1.078321210840e-01
    16      8  -1.506334717720e-01
    16     11   1.573820542420e-01
    16     13   8.143285526800e-02
    16     15  -5.212048885300e-02
    16     16  -6.823325950930e-01
    16     18  -1.179607282920e-01
    16     22  -5.212048885300e-02
    16     26   1.624644779350e-01
    16     29  -1.506334717720e-01
    16     31   1.046453270310e-01
    16     34   1.504990981660e-01
    16     36  -9.851298291900e-02
    17      5  -4.341853929000e-03
    17      7   4.308397755900e-02
    17      9  -1.506334717720e-01
    17     10   1.573820542420e-01
    17     12  -9.800095413100e-02
    17     14  -9.767291210300e-02
    17     17  -4.449949936230e-01
    17     23  -5.212048885300e-02
    17     25  -4.096940945000e-02
    17     27   1.624644779350e-01
    17     28  -1.506334717720e-01
    17     30   9.936645501800e-02
    17     35   7.030800442500e-02
    18      3  -9.851298291900e-02
    18      4  -1.078321210840e-01
    18      6   2.100963528900e-02
    18      8   4.308397755900e-02
    18     11  -9.800095413100e-02
    18     13  -4.555242325000e-02
    18     15  -2.041550109300e-02
    18     16  -1.179607282920e-01
    18     18  -1.679106658460e-01
    18     24  -5.212048885300e-02
    18     26  -4.096940945000e-02
    18     29   9.936645501800e-02
    18     33   1.046453270310e-01
    18     34   9.851298291900e-02
    18     36  -6.906601976400e-02
    19      1   2.231339999992e-07
    19      3   9.851298291900e-02
    19      4   1.046453270310e-01
    19      8   9.936645501800e-02
    19     11  -4.096940945000e-02
    19     13  -5.212048885300e-02
    19     19  -1.209546440050e+00
    19     21  -9.571220030200e-02
    19     22  -8.948174399100e-02
    19     24  -4.555242325000e-02
    19     26  -9.800095413100e-02
    19     29   4.308397755900e-02
    19     31   4.325816327900e-02
    19     33  -1.078321210840e-01
    19     34  -9.851298291900e-02
    20      2   1.241761527000e-03
    20      7   9.936645501800e-02
    20      9  -1.506334717720e-01
    20     10   1.624644779350e-01
    20     12  -4.096940945000e-02
    20     14  -5.212048885300e-02
    20     20  -8.187486126580e-01
    20     23  -9.767291210300e-02
    20     25  -9.800095413100e-02
    20     27   1.573820542420e-01
    20     28  -1.506334717720e-01
    20     30   4.308397755900e-02
    20     32  -2.659038191900e-02
    21      1  -9.851298291900e-02
    21      3   8.143285526800e-02
    21      6   1.046453270310e-01
    21      8  -1.506334717720e-01
    21     11   1.624644779350e-01
    21     15  -5.212048885300e-02
    21     19  -9.571220030200e-02
    21     21  -6.823325950930e-01
    21     22  -5.212048885300e-02
    21     24   1.504990981660e-01
    21     26   1.573820542420e-01
    21     29  -1.506334717720e-01
    21     31   1.078321210840e-01
    21     33  -1.179607282920e-01
    21     36  -9.851298291900e-02
    22      1  -1.046453270310e-01
    22      4  -8.948174399100e-02
    22      6   9.851298291900e-02
    22      8   1.624644779350e-01
    22     11  -1.506334717720e-01
    22     16  -5.212048885300e-02
    22     19  -8.948174399100e-02
    22     21  -5.212048885300e-02
    22     22  -2.137654523490e-01
    22     24   5.245429297700e-02
    22     26  -1.506334717720e-01
    22     29   1.573820542420e-01
    22     31   9.851298291900e-02
    22     34   5.245429297700e-02
    22     36  -1.078321210840e-01
    23      5  -9.290650250000e-03
    23      7  -4.096940945000e-02
    23      9   1.624644779350e-01
    23     10  -1.506334717720e-01
    23     12   9.936645501800e-02
    23     17  -5.212048885300e-02
    23     20  -9.767291210300e-02
    23     23  -1.162517272680e-01
    23     25   4.308397755900e-02
    23     27  -1.506334717720e-01
    23     28   1.573820542420e-01
    23     30  -9.800095413100e-02
    23     35  -3.891605339600e-02
    24      3  -1.046453270310e-01
    24      4  -9.851298291900e-02
    24      6   8.048665589000e-03
    24      8  -4.096940945000e-02
    24     11   9.936645501800e-02
    24     18  -5.212048885300e-02
    24     19  -4.555242325000e-02
    24     21   1.504990981660e-01
    24     22   5.245429297700e-02
    24     24   1.733881411840e-01
    24     26   4.308397755900e-02
    24     29  -9.800095413100e-02
    24     33   9.851298291900e-02
    24     34   1.078321210840e-01
    24     36   2.224827203600e-02
    25      2   5.296055966900e-02
    25      5   9.706949699900e-02
    25      7  -9.767291210300e-02
    25     14   9.936645501800e-02
    25     17  -4.096940945000e-02
    25     20  -9.800095413100e-02
    25     23   4.308397755900e-02
    25     25  -1.035331697905e+00
