2 2 31
1 1 1 1 0.497284833975
1 1 1 3 -0.081565193168
1 1 2 2 0.435932088067
1 1 2 4 0.084247589442
1 1 3 3 0.445994089704
1 1 4 4 0.522952235141
1 2 1 2 0.157382054242
1 2 1 4 0.043083977559
1 2 2 3 0.098000954131
1 2 3 4 -0.150633471772
1 3 1 3 0.107832121084
1 3 2 2 0.009805153205
1 3 2 4 -0.098512982919
1 3 3 3 -0.006862628155
1 3 4 4 -0.085907303051
1 4 1 4 0.097069496999
1 4 2 3 -0.052960559669
1 4 3 4 -0.040969409450
2 2 2 2 0.453626166458
2 2 2 4 0.004056495701
2 2 3 3 0.447764203121
2 2 4 4 0.463945296468
2 3 2 3 0.137282710722
2 3 3 4 -0.099366455018
2 4 2 4 0.104645327031
2 4 3 3 0.002814511040
2 4 4 4 0.093538016558
3 3 3 3 0.467405754179
3 3 4 4 0.480218423227
3 4 3 4 0.162464477935
4 4 4 4 0.581045917232
