    2    5   28
    1    1        -0.5417411336
    2    1        -0.0000000225
    3    1         0.0000003113
    4    1         0.0000007518
    5    1        -0.0000004217
    6    1         0.0000031173
    7    1         0.0000053251
    2    2        -0.8033671289
    3    2         0.0011689862
    4    2         0.0194490907
    5    2        -0.1226160422
    6    2        -0.0000808054
    7    2        -0.0003315972
    3    3        -0.5058392675
    4    3         0.0000304638
    5    3        -0.0001867059
    6    3        -0.0000149999
    7    3         0.0000229782
    4    4        -0.5054061046
    5    4        -0.0030125163
    6    4        -0.0000435067
    7    4        -0.0001399144
    5    5        -0.4886642944
    6    5         0.0003764406
    7    5         0.0012999543
    6    6        -0.3557928826
    7    6         0.0000241382
    7    7        -0.3557415711
